"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT13","WT14","WT16","WT18","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-03","7.3",,"0.0","0.0","0.0",,"18.9","7.8","   10","   20","10.3","12.5",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-04","6.5",,"0.0","0.0","0.0",,"18.9","8.3","   20","   20","9.4","11.2",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-05","5.7",,"0.0","0.0","0.0",,"21.7","8.9","  360","  360","8.0","9.8",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-06","5.1",,"0.0","0.0","0.0",,"23.9","7.8","   20","   20","7.6","9.4",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-07","1.3",,"0.0","0.0","0.0",,"23.9","7.8","   30","   10","5.4","6.3",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-08","1.9",,"0.0","0.0","0.0",,"21.1","7.8","  210","  230","4.0","5.4",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-09","1.6",,"0.0","0.0","0.0",,"16.1","8.9","  170","  170","4.0","4.5",,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-10","1.4",,"0.0","0.0","0.0",,"12.2","8.3","   40","   40","4.0","4.5",,"    1",,,,"    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-11","1.3",,"0.0","0.0","0.0",,"13.9","7.2","  270","   60","4.0","5.8","    1",,,,,"    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-12","4.6",,"2.0","0.0","0.0",,"13.9","8.9","  220","  230","7.2","9.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-13","3.9",,"4.8","0.0","0.0",,"15.6","12.2","  190","  190","6.7","9.4","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-14","3.4",,"16.5","0.0","0.0",,"17.8","13.3","  160","  200","7.6","10.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-15","4.6",,"7.9","0.0","0.0",,"17.2","11.1","  210","  210","11.2","14.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-16","5.5",,"0.0","0.0","0.0",,"16.1","8.3","  200","  200","13.0","17.0",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-17","1.6",,"0.0","0.0","0.0",,"14.4","6.1","  280","  290","4.0","5.4",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-18","2.0",,"20.8","0.0","0.0",,"17.8","6.7","  240","  240","6.3","8.9","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-19","5.3",,"4.8","0.0","0.0",,"15.0","9.4","  170","  170","9.8","13.0","    1",,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-20","5.7",,"0.5","0.0","0.0",,"11.1","6.1","  290","  290","12.5","15.6",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-21","2.7",,"6.4","0.0","0.0",,"11.7","4.4","  160","  160","10.3","11.6","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-22","2.6",,"8.9","0.0","0.0",,"7.8","3.3","   20","   20","6.3","7.2","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-23","3.0",,"0.0","0.0","0.0",,"11.1","5.6","  210","  210","7.2","9.4",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-24","2.1",,"7.1","0.0","0.0",,"11.7","6.1","  260","  260","5.4","6.7","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-25","1.5",,"0.0","0.0","0.0",,"11.7","6.7","  110","  110","4.5","5.8",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-26","2.5",,"1.5","0.0","0.0",,"11.1","7.2","  210","  200","7.6","10.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-27","5.1",,"23.1","0.0","0.0",,"14.4","9.4","  190","  210","8.9","11.6",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-28","3.8",,"6.1","0.0","0.0",,"14.4","10.0","  210","  210","10.3","13.9","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-29","4.9",,"10.9","0.0","0.0",,"15.6","10.0","  200","  210","11.6","17.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-30","2.8",,"34.5","0.0","0.0",,"15.0","12.2","  160","  140","6.3","8.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-31","2.7",,"14.5","0.0","0.0",,"15.6","11.1","  170","  170","6.3","7.6","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-01","3.0",,"9.7","0.0","0.0",,"15.0","10.6","  160","  150","8.0","10.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-02","1.0",,"5.6","0.0","0.0",,"15.0","10.6","  120","  250","3.6","4.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-03","3.6",,"0.5","0.0","0.0",,"15.6","11.1","  200","  190","7.6","9.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-04","3.8",,"8.1","0.0","0.0",,"17.8","12.8","  200","  210","7.6","9.8","    1",,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-05","4.0",,"0.8","0.0","0.0",,"15.0","7.8","   40","   40","8.0","10.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-06","3.5",,"0.3","0.0","0.0",,"12.8","6.7","  190","  230","9.8","13.0","    1","    1",,,,"    1",,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-07","3.4",,"0.0","0.0","0.0",,"12.2","3.9","  200","  200","8.0","10.3",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-08","3.4",,"0.0","0.0","0.0",,"10.0","1.1","  360","   20","8.9","10.7",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-09","2.0",,"0.0","0.0","0.0",,"8.9","1.1","   10","   10","6.3","7.2","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-10","2.2",,"0.0","0.0","0.0",,"7.8","-0.6","  360","   10","5.4","6.7",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-11","3.0",,"15.2","0.0","0.0",,"8.9","1.1","  110","  130","6.3","7.6","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-12","3.0",,"3.6","0.0","0.0",,"12.8","6.1","  230","  230","6.3","8.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-13","2.5",,"5.3","0.0","0.0",,"11.1","7.8","  160","  160","5.8","6.7","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-14","2.6",,"0.8","0.0","0.0",,"11.1","5.0","  220","  220","5.8","7.2","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-15","2.4",,"0.0","0.0","0.0",,"9.4","2.8","   10","   10","5.8","6.7","    1","    1",,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-16","1.6",,"5.6","0.0","0.0",,"9.4","2.2","  110","  120","6.3","7.6",,"    1",,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-17","5.3",,"6.1","0.0","0.0",,"12.2","6.1","  190","  190","10.7","13.4","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-18","4.9",,"7.9","0.0","0.0",,"10.0","6.1","  170","  160","11.2","15.6",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-19","6.0",,"54.1","0.0","0.0",,"13.3","8.3","  160","  150","12.5","17.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-20","4.2",,"3.8","0.0","0.0",,"11.1","7.2","  230","  230","13.9","17.4","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-21","5.5",,"11.2","0.0","0.0",,"8.3","3.9","  190","  200","14.8","20.6","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-22","1.5",,"0.0","0.0","0.0",,"8.9","2.8","  120","  120","4.5","5.8",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-23","2.4",,"32.0","0.0","0.0",,"9.4","6.1","  210","  220","6.7","9.4","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-24","1.2",,"0.0","0.0","0.0",,"8.9","3.9","  230","  240","5.4","6.3",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-25","3.6",,"0.0","0.0","0.0",,"8.3","1.1","   10","   10","7.6","8.9","    1","    1",,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-26","3.8",,"0.0","0.0","0.0",,"9.4","1.7","   20","   30","7.2","8.9","    1",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-27","1.5",,"0.0","0.0","0.0",,"10.0","1.7","  130","  130","5.4","5.8",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-28","2.9",,"2.8","0.0","0.0",,"9.4","2.2","  110","  100","6.7","7.6","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-29","4.2",,"1.5","0.0","0.0",,"12.8","7.8","  120","  190","7.6","9.4",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-30","4.6",,"35.6","0.0","0.0",,"15.0","7.8","  180","  190","10.3","13.4","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-01","5.5",,"4.1","0.0","0.0",,"13.3","8.3","  200","  200","11.2","17.0",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-02","6.2",,"19.6","0.0","0.0",,"8.3","7.2","  170","  190","11.6","16.1","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-03","4.4",,"13.0","0.0","0.0",,"9.4","7.2","  220","  180","9.4","14.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-04","6.2",,"14.2","0.0","0.0",,"11.7","7.2","  210","  210","11.2","14.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-05","5.0",,"1.5","0.0","0.0",,"8.9","4.4","  210","  200","9.8","13.0",,,,,,,,,"    1",,
